Starting Sample AI Mock script (Multi-Campaign). Target: http://localhost:3000/api/events
[00:21:08] Sent data for Promo Skincare Baru. Status: 200
[00:21:10] Sent data for Iklan Mobil Listrik. Status: 200
[00:21:12] Sent data for Promo Skincare Baru. Status: 200
[00:21:13] Sent data for Peluncuran Minuman Energi. Status: 200
[00:21:16] Sent data for Peluncuran Minuman Energi. Status: 200
[00:21:17] Sent data for Promo Skincare Baru. Status: 200
[00:21:20] Sent data for Promo Skincare Baru. Status: 200
[00:21:21] Sent data for Iklan Mobil Listrik. Status: 200
[00:21:24] Sent data for Promo Skincare Baru. Status: 200
[00:21:26] Sent data for Peluncuran Minuman Energi. Status: 200
[00:21:28] Sent data for Promo Skincare Baru. Status: 200
[00:21:31] Sent data for Promo Skincare Baru. Status: 200
[00:21:34] Sent data for Promo Skincare Baru. Status: 200
[00:21:36] Sent data for Peluncuran Minuman Energi. Status: 200
[00:21:39] Sent data for Promo Skincare Baru. Status: 200
[00:21:41] Sent data for Promo Skincare Baru. Status: 200
[00:21:42] Sent data for Iklan Mobil Listrik. Status: 200
[00:21:43] Sent data for Peluncuran Minuman Energi. Status: 200
[00:21:45] Sent data for Iklan Mobil Listrik. Status: 200
[00:21:47] Sent data for Promo Skincare Baru. Status: 200
[00:21:48] Sent data for Iklan Mobil Listrik. Status: 200
[00:21:50] Sent data for Promo Skincare Baru. Status: 200
[00:21:52] Sent data for Promo Skincare Baru. Status: 200
[00:21:53] Sent data for Promo Skincare Baru. Status: 200
[00:21:55] Sent data for Iklan Mobil Listrik. Status: 200
[00:21:58] Sent data for Promo Skincare Baru. Status: 200
[00:22:00] Sent data for Peluncuran Minuman Energi. Status: 200
[00:22:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:22:04] Sent data for Peluncuran Minuman Energi. Status: 200
[00:22:05] Sent data for Iklan Mobil Listrik. Status: 200
[00:22:08] Sent data for Peluncuran Minuman Energi. Status: 200
[00:22:10] Sent data for Peluncuran Minuman Energi. Status: 200
[00:22:12] Sent data for Peluncuran Minuman Energi. Status: 200
[00:22:14] Sent data for Iklan Mobil Listrik. Status: 200
[00:22:15] Sent data for Peluncuran Minuman Energi. Status: 200
[00:22:18] Sent data for Iklan Mobil Listrik. Status: 200
[00:22:20] Sent data for Promo Skincare Baru. Status: 200
[00:22:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:22:25] Sent data for Iklan Mobil Listrik. Status: 200
[00:22:27] Sent data for Promo Skincare Baru. Status: 200
[00:22:28] Sent data for Peluncuran Minuman Energi. Status: 200
[00:22:31] Sent data for Promo Skincare Baru. Status: 200
[00:22:34] Sent data for Promo Skincare Baru. Status: 200
[00:22:37] Sent data for Iklan Mobil Listrik. Status: 200
[00:22:38] Sent data for Peluncuran Minuman Energi. Status: 200
[00:22:41] Sent data for Iklan Mobil Listrik. Status: 200
[00:22:44] Sent data for Promo Skincare Baru. Status: 200
[00:22:46] Sent data for Iklan Mobil Listrik. Status: 200
[00:22:47] Sent data for Promo Skincare Baru. Status: 200
[00:22:50] Sent data for Promo Skincare Baru. Status: 200
[00:22:52] Sent data for Promo Skincare Baru. Status: 200
[00:22:54] Sent data for Peluncuran Minuman Energi. Status: 200
[00:22:56] Sent data for Iklan Mobil Listrik. Status: 200
[00:22:57] Sent data for Promo Skincare Baru. Status: 200
[00:23:00] Sent data for Peluncuran Minuman Energi. Status: 200
[00:23:02] Sent data for Promo Skincare Baru. Status: 200
[00:23:04] Sent data for Peluncuran Minuman Energi. Status: 200
[00:23:06] Sent data for Peluncuran Minuman Energi. Status: 200
[00:23:07] Sent data for Promo Skincare Baru. Status: 200
[00:23:09] Sent data for Peluncuran Minuman Energi. Status: 200
[00:23:12] Sent data for Iklan Mobil Listrik. Status: 200
[00:23:14] Sent data for Promo Skincare Baru. Status: 200
[00:23:16] Sent data for Promo Skincare Baru. Status: 200
[00:23:18] Sent data for Promo Skincare Baru. Status: 200
[00:23:20] Sent data for Peluncuran Minuman Energi. Status: 200
[00:23:23] Sent data for Peluncuran Minuman Energi. Status: 200
[00:23:25] Sent data for Iklan Mobil Listrik. Status: 200
[00:23:27] Sent data for Peluncuran Minuman Energi. Status: 200
[00:23:29] Sent data for Iklan Mobil Listrik. Status: 200
[00:23:30] Sent data for Iklan Mobil Listrik. Status: 200
[00:23:32] Sent data for Iklan Mobil Listrik. Status: 200
[00:23:33] Sent data for Peluncuran Minuman Energi. Status: 200
[00:23:35] Sent data for Iklan Mobil Listrik. Status: 200
[00:23:38] Sent data for Promo Skincare Baru. Status: 200
[00:23:40] Sent data for Promo Skincare Baru. Status: 200
[00:23:42] Sent data for Promo Skincare Baru. Status: 200
[00:23:43] Sent data for Promo Skincare Baru. Status: 200
[00:23:44] Sent data for Peluncuran Minuman Energi. Status: 200
[00:23:47] Sent data for Promo Skincare Baru. Status: 200
[00:23:49] Sent data for Promo Skincare Baru. Status: 200
[00:23:51] Sent data for Promo Skincare Baru. Status: 200
[00:23:53] Sent data for Peluncuran Minuman Energi. Status: 200
[00:23:55] Sent data for Peluncuran Minuman Energi. Status: 200
[00:23:58] Sent data for Iklan Mobil Listrik. Status: 200
[00:24:00] Sent data for Peluncuran Minuman Energi. Status: 200
[00:24:03] Sent data for Peluncuran Minuman Energi. Status: 200
[00:24:06] Sent data for Iklan Mobil Listrik. Status: 200
[00:24:07] Sent data for Peluncuran Minuman Energi. Status: 200
[00:24:09] Sent data for Peluncuran Minuman Energi. Status: 200
[00:24:11] Sent data for Promo Skincare Baru. Status: 200
[00:24:12] Sent data for Peluncuran Minuman Energi. Status: 200
[00:24:14] Sent data for Promo Skincare Baru. Status: 200
[00:24:17] Sent data for Peluncuran Minuman Energi. Status: 200
[00:24:20] Sent data for Iklan Mobil Listrik. Status: 200
[00:24:21] Sent data for Iklan Mobil Listrik. Status: 200
[00:24:22] Sent data for Peluncuran Minuman Energi. Status: 200
[00:24:25] Sent data for Iklan Mobil Listrik. Status: 200
[00:24:28] Sent data for Iklan Mobil Listrik. Status: 200
[00:24:30] Sent data for Iklan Mobil Listrik. Status: 200
[00:24:33] Sent data for Promo Skincare Baru. Status: 200
[00:24:35] Sent data for Promo Skincare Baru. Status: 200
[00:24:36] Sent data for Promo Skincare Baru. Status: 200
[00:24:38] Sent data for Iklan Mobil Listrik. Status: 200
[00:24:41] Sent data for Peluncuran Minuman Energi. Status: 200
[00:24:44] Sent data for Iklan Mobil Listrik. Status: 200
[00:24:47] Sent data for Promo Skincare Baru. Status: 200
[00:24:49] Sent data for Promo Skincare Baru. Status: 200
[00:24:52] Sent data for Promo Skincare Baru. Status: 200
[00:24:54] Sent data for Promo Skincare Baru. Status: 200
[00:24:56] Sent data for Iklan Mobil Listrik. Status: 200
[00:24:59] Sent data for Promo Skincare Baru. Status: 200
[00:25:01] Sent data for Iklan Mobil Listrik. Status: 200
[00:25:03] Sent data for Iklan Mobil Listrik. Status: 200
[00:25:05] Sent data for Peluncuran Minuman Energi. Status: 200
[00:25:07] Sent data for Promo Skincare Baru. Status: 200
[00:25:09] Sent data for Promo Skincare Baru. Status: 200
[00:25:12] Sent data for Iklan Mobil Listrik. Status: 200
[00:25:14] Sent data for Promo Skincare Baru. Status: 200
[00:25:17] Sent data for Peluncuran Minuman Energi. Status: 200
[00:25:18] Sent data for Promo Skincare Baru. Status: 200
[00:25:21] Sent data for Promo Skincare Baru. Status: 200
[00:25:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:25:24] Sent data for Promo Skincare Baru. Status: 200
[00:25:27] Sent data for Promo Skincare Baru. Status: 200
[00:25:29] Sent data for Iklan Mobil Listrik. Status: 200
[00:25:30] Sent data for Iklan Mobil Listrik. Status: 200
[00:25:33] Sent data for Peluncuran Minuman Energi. Status: 200
[00:25:36] Sent data for Promo Skincare Baru. Status: 200
[00:25:38] Sent data for Peluncuran Minuman Energi. Status: 200
[00:25:41] Sent data for Promo Skincare Baru. Status: 200
[00:25:43] Sent data for Peluncuran Minuman Energi. Status: 200
[00:25:45] Sent data for Iklan Mobil Listrik. Status: 200
[00:25:47] Sent data for Peluncuran Minuman Energi. Status: 200
[00:25:50] Sent data for Iklan Mobil Listrik. Status: 200
[00:25:52] Sent data for Peluncuran Minuman Energi. Status: 200
[00:25:55] Sent data for Peluncuran Minuman Energi. Status: 200
[00:25:56] Sent data for Iklan Mobil Listrik. Status: 200
[00:25:57] Sent data for Promo Skincare Baru. Status: 200
[00:26:00] Sent data for Peluncuran Minuman Energi. Status: 200
[00:26:02] Sent data for Peluncuran Minuman Energi. Status: 200
[00:26:04] Sent data for Iklan Mobil Listrik. Status: 200
[00:26:05] Sent data for Iklan Mobil Listrik. Status: 200
[00:26:07] Sent data for Peluncuran Minuman Energi. Status: 200
[00:26:09] Sent data for Iklan Mobil Listrik. Status: 200
[00:26:12] Sent data for Promo Skincare Baru. Status: 200
[00:26:15] Sent data for Peluncuran Minuman Energi. Status: 200
[00:26:17] Sent data for Peluncuran Minuman Energi. Status: 200
[00:26:19] Sent data for Promo Skincare Baru. Status: 200
[00:26:20] Sent data for Promo Skincare Baru. Status: 200
[00:26:22] Sent data for Peluncuran Minuman Energi. Status: 200
[00:26:23] Sent data for Peluncuran Minuman Energi. Status: 200
[00:26:24] Sent data for Promo Skincare Baru. Status: 200
[00:26:25] Sent data for Promo Skincare Baru. Status: 200
[00:26:27] Sent data for Peluncuran Minuman Energi. Status: 200
[00:26:29] Sent data for Promo Skincare Baru. Status: 200
[00:26:31] Sent data for Peluncuran Minuman Energi. Status: 200
[00:26:32] Sent data for Promo Skincare Baru. Status: 200
[00:26:35] Sent data for Iklan Mobil Listrik. Status: 200
[00:26:37] Sent data for Iklan Mobil Listrik. Status: 200
[00:26:39] Sent data for Promo Skincare Baru. Status: 200
[00:26:41] Sent data for Iklan Mobil Listrik. Status: 200
[00:26:43] Sent data for Promo Skincare Baru. Status: 200
[00:26:46] Sent data for Peluncuran Minuman Energi. Status: 200
[00:26:47] Sent data for Peluncuran Minuman Energi. Status: 200
[00:26:50] Sent data for Iklan Mobil Listrik. Status: 200
[00:26:52] Sent data for Promo Skincare Baru. Status: 200
[00:26:54] Sent data for Iklan Mobil Listrik. Status: 200
[00:26:56] Sent data for Promo Skincare Baru. Status: 200
[00:26:59] Sent data for Iklan Mobil Listrik. Status: 200
[00:27:00] Sent data for Iklan Mobil Listrik. Status: 200
[00:27:03] Sent data for Peluncuran Minuman Energi. Status: 200
[00:27:05] Sent data for Promo Skincare Baru. Status: 200
[00:27:06] Sent data for Peluncuran Minuman Energi. Status: 200
[00:27:08] Sent data for Peluncuran Minuman Energi. Status: 200
[00:27:10] Sent data for Promo Skincare Baru. Status: 200
[00:27:12] Sent data for Iklan Mobil Listrik. Status: 200
[00:27:14] Sent data for Peluncuran Minuman Energi. Status: 200
[00:27:17] Sent data for Promo Skincare Baru. Status: 200
[00:27:20] Sent data for Promo Skincare Baru. Status: 200
[00:27:23] Sent data for Promo Skincare Baru. Status: 200
[00:27:25] Sent data for Iklan Mobil Listrik. Status: 200
[00:27:26] Sent data for Iklan Mobil Listrik. Status: 200
[00:27:28] Sent data for Peluncuran Minuman Energi. Status: 200
[00:27:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:27:33] Sent data for Iklan Mobil Listrik. Status: 200
[00:27:35] Sent data for Promo Skincare Baru. Status: 200
[00:27:37] Sent data for Peluncuran Minuman Energi. Status: 200
[00:27:39] Sent data for Peluncuran Minuman Energi. Status: 200
[00:27:41] Sent data for Promo Skincare Baru. Status: 200
[00:27:43] Sent data for Iklan Mobil Listrik. Status: 200
[00:27:45] Sent data for Peluncuran Minuman Energi. Status: 200
[00:27:48] Sent data for Peluncuran Minuman Energi. Status: 200
[00:27:50] Sent data for Promo Skincare Baru. Status: 200
[00:27:52] Sent data for Peluncuran Minuman Energi. Status: 200
[00:27:54] Sent data for Iklan Mobil Listrik. Status: 200
[00:27:56] Sent data for Peluncuran Minuman Energi. Status: 200
[00:27:58] Sent data for Peluncuran Minuman Energi. Status: 200
[00:27:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:01] Sent data for Iklan Mobil Listrik. Status: 200
[00:28:04] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:05] Sent data for Iklan Mobil Listrik. Status: 200
[00:28:07] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:10] Sent data for Promo Skincare Baru. Status: 200
[00:28:11] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:13] Sent data for Iklan Mobil Listrik. Status: 200
[00:28:15] Sent data for Promo Skincare Baru. Status: 200
[00:28:17] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:19] Sent data for Promo Skincare Baru. Status: 200
[00:28:21] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:22] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:24] Sent data for Promo Skincare Baru. Status: 200
[00:28:26] Sent data for Iklan Mobil Listrik. Status: 200
[00:28:27] Sent data for Iklan Mobil Listrik. Status: 200
[00:28:28] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:32] Sent data for Promo Skincare Baru. Status: 200
[00:28:34] Sent data for Iklan Mobil Listrik. Status: 200
[00:28:36] Sent data for Promo Skincare Baru. Status: 200
[00:28:37] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:39] Sent data for Promo Skincare Baru. Status: 200
[00:28:41] Sent data for Iklan Mobil Listrik. Status: 200
[00:28:42] Sent data for Promo Skincare Baru. Status: 200
[00:28:43] Sent data for Iklan Mobil Listrik. Status: 200
[00:28:46] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:48] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:50] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:52] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:53] Sent data for Promo Skincare Baru. Status: 200
[00:28:54] Sent data for Promo Skincare Baru. Status: 200
[00:28:57] Sent data for Peluncuran Minuman Energi. Status: 200
[00:28:58] Sent data for Iklan Mobil Listrik. Status: 200
[00:29:00] Sent data for Iklan Mobil Listrik. Status: 200
[00:29:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:29:05] Sent data for Promo Skincare Baru. Status: 200
[00:29:07] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:10] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:11] Sent data for Promo Skincare Baru. Status: 200
[00:29:14] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:15] Sent data for Iklan Mobil Listrik. Status: 200
[00:29:18] Sent data for Iklan Mobil Listrik. Status: 200
[00:29:20] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:22] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:24] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:27] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:29] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:32] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:33] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:35] Sent data for Promo Skincare Baru. Status: 200
[00:29:37] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:40] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:42] Sent data for Promo Skincare Baru. Status: 200
[00:29:44] Sent data for Iklan Mobil Listrik. Status: 200
[00:29:45] Sent data for Promo Skincare Baru. Status: 200
[00:29:48] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:50] Sent data for Iklan Mobil Listrik. Status: 200
[00:29:53] Sent data for Promo Skincare Baru. Status: 200
[00:29:54] Sent data for Peluncuran Minuman Energi. Status: 200
[00:29:56] Sent data for Iklan Mobil Listrik. Status: 200
[00:29:57] Sent data for Promo Skincare Baru. Status: 200
[00:29:59] Sent data for Promo Skincare Baru. Status: 200
[00:30:01] Sent data for Promo Skincare Baru. Status: 200
[00:30:04] Sent data for Iklan Mobil Listrik. Status: 200
[00:30:05] Sent data for Peluncuran Minuman Energi. Status: 200
[00:30:06] Sent data for Promo Skincare Baru. Status: 200
[00:30:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:30:08] Sent data for Peluncuran Minuman Energi. Status: 200
[00:30:11] Sent data for Iklan Mobil Listrik. Status: 200
[00:30:14] Sent data for Peluncuran Minuman Energi. Status: 200
[00:30:17] Sent data for Promo Skincare Baru. Status: 200
[00:30:19] Sent data for Iklan Mobil Listrik. Status: 200
[00:30:20] Sent data for Promo Skincare Baru. Status: 200
[00:30:22] Sent data for Peluncuran Minuman Energi. Status: 200
[00:30:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:30:26] Sent data for Iklan Mobil Listrik. Status: 200
[00:30:28] Sent data for Iklan Mobil Listrik. Status: 200
[00:30:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:30:33] Sent data for Peluncuran Minuman Energi. Status: 200
[00:30:35] Sent data for Peluncuran Minuman Energi. Status: 200
[00:30:36] Sent data for Iklan Mobil Listrik. Status: 200
[00:30:38] Sent data for Iklan Mobil Listrik. Status: 200
[00:30:40] Sent data for Iklan Mobil Listrik. Status: 200
[00:30:43] Sent data for Promo Skincare Baru. Status: 200
[00:30:45] Sent data for Iklan Mobil Listrik. Status: 200
[00:30:48] Sent data for Promo Skincare Baru. Status: 200
[00:30:51] Sent data for Promo Skincare Baru. Status: 200
[00:30:53] Sent data for Iklan Mobil Listrik. Status: 200
[00:30:55] Sent data for Promo Skincare Baru. Status: 200
[00:30:58] Sent data for Peluncuran Minuman Energi. Status: 200
[00:31:00] Sent data for Promo Skincare Baru. Status: 200
[00:31:01] Sent data for Iklan Mobil Listrik. Status: 200
[00:31:02] Sent data for Promo Skincare Baru. Status: 200
[00:31:04] Sent data for Iklan Mobil Listrik. Status: 200
[00:31:05] Sent data for Iklan Mobil Listrik. Status: 200
[00:31:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:31:10] Sent data for Peluncuran Minuman Energi. Status: 200
[00:31:11] Sent data for Peluncuran Minuman Energi. Status: 200
[00:31:14] Sent data for Iklan Mobil Listrik. Status: 200
[00:31:16] Sent data for Peluncuran Minuman Energi. Status: 200
[00:31:17] Sent data for Peluncuran Minuman Energi. Status: 200
[00:31:19] Sent data for Promo Skincare Baru. Status: 200
[00:31:22] Sent data for Peluncuran Minuman Energi. Status: 200
[00:31:24] Sent data for Iklan Mobil Listrik. Status: 200
[00:31:25] Sent data for Peluncuran Minuman Energi. Status: 200
[00:31:27] Sent data for Peluncuran Minuman Energi. Status: 200
[00:31:28] Sent data for Peluncuran Minuman Energi. Status: 200
[00:31:31] Sent data for Iklan Mobil Listrik. Status: 200
[00:31:33] Sent data for Promo Skincare Baru. Status: 200
[00:31:36] Sent data for Promo Skincare Baru. Status: 200
[00:31:39] Sent data for Peluncuran Minuman Energi. Status: 200
[00:31:41] Sent data for Peluncuran Minuman Energi. Status: 200
[00:31:44] Sent data for Promo Skincare Baru. Status: 200
[00:31:46] Sent data for Iklan Mobil Listrik. Status: 200
[00:31:47] Sent data for Iklan Mobil Listrik. Status: 200
[00:31:49] Sent data for Peluncuran Minuman Energi. Status: 200
[00:31:52] Sent data for Promo Skincare Baru. Status: 200
[00:31:55] Sent data for Peluncuran Minuman Energi. Status: 200
[00:31:56] Sent data for Promo Skincare Baru. Status: 200
[00:31:58] Sent data for Iklan Mobil Listrik. Status: 200
[00:32:00] Sent data for Promo Skincare Baru. Status: 200
[00:32:01] Sent data for Promo Skincare Baru. Status: 200
[00:32:02] Sent data for Promo Skincare Baru. Status: 200
[00:32:05] Sent data for Peluncuran Minuman Energi. Status: 200
[00:32:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:32:09] Sent data for Peluncuran Minuman Energi. Status: 200
[00:32:11] Sent data for Iklan Mobil Listrik. Status: 200
[00:32:12] Sent data for Iklan Mobil Listrik. Status: 200
[00:32:14] Sent data for Peluncuran Minuman Energi. Status: 200
[00:32:15] Sent data for Iklan Mobil Listrik. Status: 200
[00:32:16] Sent data for Promo Skincare Baru. Status: 200
[00:32:17] Sent data for Promo Skincare Baru. Status: 200
[00:32:19] Sent data for Peluncuran Minuman Energi. Status: 200
[00:32:20] Sent data for Iklan Mobil Listrik. Status: 200
[00:32:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:32:24] Sent data for Iklan Mobil Listrik. Status: 200
[00:32:26] Sent data for Promo Skincare Baru. Status: 200
[00:32:29] Sent data for Promo Skincare Baru. Status: 200
[00:32:32] Sent data for Peluncuran Minuman Energi. Status: 200
[00:32:34] Sent data for Promo Skincare Baru. Status: 200
[00:32:37] Sent data for Iklan Mobil Listrik. Status: 200
[00:32:38] Sent data for Iklan Mobil Listrik. Status: 200
[00:32:40] Sent data for Promo Skincare Baru. Status: 200
[00:32:41] Sent data for Iklan Mobil Listrik. Status: 200
[00:32:44] Sent data for Peluncuran Minuman Energi. Status: 200
[00:32:47] Sent data for Peluncuran Minuman Energi. Status: 200
[00:32:49] Sent data for Promo Skincare Baru. Status: 200
[00:32:51] Sent data for Peluncuran Minuman Energi. Status: 200
[00:32:53] Sent data for Iklan Mobil Listrik. Status: 200
[00:32:55] Sent data for Promo Skincare Baru. Status: 200
[00:32:58] Sent data for Promo Skincare Baru. Status: 200
[00:32:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:33:01] Sent data for Iklan Mobil Listrik. Status: 200
[00:33:04] Sent data for Iklan Mobil Listrik. Status: 200
[00:33:05] Sent data for Promo Skincare Baru. Status: 200
[00:33:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:33:10] Sent data for Iklan Mobil Listrik. Status: 200
[00:33:13] Sent data for Iklan Mobil Listrik. Status: 200
[00:33:16] Sent data for Promo Skincare Baru. Status: 200
[00:33:18] Sent data for Peluncuran Minuman Energi. Status: 200
[00:33:19] Sent data for Iklan Mobil Listrik. Status: 200
[00:33:22] Sent data for Peluncuran Minuman Energi. Status: 200
[00:33:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:33:24] Sent data for Peluncuran Minuman Energi. Status: 200
[00:33:26] Sent data for Promo Skincare Baru. Status: 200
[00:33:28] Sent data for Peluncuran Minuman Energi. Status: 200
[00:33:31] Sent data for Peluncuran Minuman Energi. Status: 200
[00:33:33] Sent data for Peluncuran Minuman Energi. Status: 200
[00:33:36] Sent data for Iklan Mobil Listrik. Status: 200
[00:33:38] Sent data for Peluncuran Minuman Energi. Status: 200
[00:33:40] Sent data for Promo Skincare Baru. Status: 200
[00:33:42] Sent data for Peluncuran Minuman Energi. Status: 200
[00:33:43] Sent data for Iklan Mobil Listrik. Status: 200
[00:33:45] Sent data for Promo Skincare Baru. Status: 200
[00:33:46] Sent data for Promo Skincare Baru. Status: 200
[00:33:49] Sent data for Iklan Mobil Listrik. Status: 200
[00:33:50] Sent data for Iklan Mobil Listrik. Status: 200
[00:33:52] Sent data for Peluncuran Minuman Energi. Status: 200
[00:33:53] Sent data for Iklan Mobil Listrik. Status: 200
[00:33:56] Sent data for Iklan Mobil Listrik. Status: 200
[00:33:59] Sent data for Iklan Mobil Listrik. Status: 200
[00:34:02] Sent data for Peluncuran Minuman Energi. Status: 200
[00:34:04] Sent data for Promo Skincare Baru. Status: 200
[00:34:06] Sent data for Iklan Mobil Listrik. Status: 200
[00:34:09] Sent data for Peluncuran Minuman Energi. Status: 200
[00:34:11] Sent data for Promo Skincare Baru. Status: 200
[00:34:13] Sent data for Iklan Mobil Listrik. Status: 200
[00:34:14] Sent data for Promo Skincare Baru. Status: 200
[00:34:17] Sent data for Iklan Mobil Listrik. Status: 200
[00:34:19] Sent data for Peluncuran Minuman Energi. Status: 200
[00:34:21] Sent data for Peluncuran Minuman Energi. Status: 200
[00:34:22] Sent data for Iklan Mobil Listrik. Status: 200
[00:34:25] Sent data for Peluncuran Minuman Energi. Status: 200
[00:34:27] Sent data for Iklan Mobil Listrik. Status: 200
[00:34:29] Sent data for Promo Skincare Baru. Status: 200
[00:34:31] Sent data for Iklan Mobil Listrik. Status: 200
[00:34:33] Sent data for Iklan Mobil Listrik. Status: 200
[00:34:36] Sent data for Iklan Mobil Listrik. Status: 200
[00:34:38] Sent data for Iklan Mobil Listrik. Status: 200
[00:34:40] Sent data for Promo Skincare Baru. Status: 200
[00:34:42] Sent data for Iklan Mobil Listrik. Status: 200
[00:34:44] Sent data for Promo Skincare Baru. Status: 200
[00:34:47] Sent data for Peluncuran Minuman Energi. Status: 200
[00:34:48] Sent data for Promo Skincare Baru. Status: 200
[00:34:50] Sent data for Peluncuran Minuman Energi. Status: 200
[00:34:52] Sent data for Iklan Mobil Listrik. Status: 200
[00:34:54] Sent data for Promo Skincare Baru. Status: 200
[00:34:55] Sent data for Promo Skincare Baru. Status: 200
[00:34:58] Sent data for Peluncuran Minuman Energi. Status: 200
[00:35:00] Sent data for Iklan Mobil Listrik. Status: 200
[00:35:01] Sent data for Promo Skincare Baru. Status: 200
[00:35:02] Sent data for Promo Skincare Baru. Status: 200
[00:35:03] Sent data for Peluncuran Minuman Energi. Status: 200
[00:35:05] Sent data for Promo Skincare Baru. Status: 200
[00:35:07] Sent data for Promo Skincare Baru. Status: 200
[00:35:10] Sent data for Promo Skincare Baru. Status: 200
[00:35:11] Sent data for Peluncuran Minuman Energi. Status: 200
[00:35:13] Sent data for Promo Skincare Baru. Status: 200
[00:35:16] Sent data for Promo Skincare Baru. Status: 200
[00:35:17] Sent data for Promo Skincare Baru. Status: 200
[00:35:19] Sent data for Peluncuran Minuman Energi. Status: 200
[00:35:22] Sent data for Iklan Mobil Listrik. Status: 200
[00:35:24] Sent data for Peluncuran Minuman Energi. Status: 200
[00:35:26] Sent data for Promo Skincare Baru. Status: 200
[00:35:28] Sent data for Promo Skincare Baru. Status: 200
[00:35:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:35:32] Sent data for Peluncuran Minuman Energi. Status: 200
[00:35:35] Sent data for Iklan Mobil Listrik. Status: 200
[00:35:36] Sent data for Peluncuran Minuman Energi. Status: 200
[00:35:38] Sent data for Iklan Mobil Listrik. Status: 200
[00:35:39] Sent data for Promo Skincare Baru. Status: 200
[00:35:41] Sent data for Peluncuran Minuman Energi. Status: 200
[00:35:43] Sent data for Peluncuran Minuman Energi. Status: 200
[00:35:45] Sent data for Promo Skincare Baru. Status: 200
[00:35:47] Sent data for Peluncuran Minuman Energi. Status: 200
[00:35:49] Sent data for Iklan Mobil Listrik. Status: 200
[00:35:52] Sent data for Promo Skincare Baru. Status: 200
[00:35:53] Sent data for Iklan Mobil Listrik. Status: 200
[00:35:55] Sent data for Promo Skincare Baru. Status: 200
[00:35:58] Sent data for Promo Skincare Baru. Status: 200
[00:36:00] Sent data for Peluncuran Minuman Energi. Status: 200
[00:36:03] Sent data for Iklan Mobil Listrik. Status: 200
[00:36:04] Sent data for Promo Skincare Baru. Status: 200
[00:36:06] Sent data for Iklan Mobil Listrik. Status: 200
[00:36:09] Sent data for Peluncuran Minuman Energi. Status: 200
[00:36:10] Sent data for Peluncuran Minuman Energi. Status: 200
[00:36:13] Sent data for Promo Skincare Baru. Status: 200
[00:36:16] Sent data for Peluncuran Minuman Energi. Status: 200
[00:36:18] Sent data for Peluncuran Minuman Energi. Status: 200
[00:36:20] Sent data for Iklan Mobil Listrik. Status: 200
[00:36:22] Sent data for Iklan Mobil Listrik. Status: 200
[00:36:25] Sent data for Iklan Mobil Listrik. Status: 200
[00:36:27] Sent data for Peluncuran Minuman Energi. Status: 200
[00:36:29] Sent data for Iklan Mobil Listrik. Status: 200
[00:36:31] Sent data for Peluncuran Minuman Energi. Status: 200
[00:36:32] Sent data for Iklan Mobil Listrik. Status: 200
[00:36:34] Sent data for Promo Skincare Baru. Status: 200
